,precision,recall,f1-score,support
0,0.8860759493670886,0.7,0.7821229050279329,100.0
1,0.7619047619047619,0.9142857142857143,0.8311688311688312,105.0
accuracy,0.8097560975609757,0.8097560975609757,0.8097560975609757,0.8097560975609757
macro avg,0.8239903556359252,0.8071428571428572,0.8066458680983821,205.0
weighted avg,0.8224760728619943,0.8097560975609757,0.807243989148881,205.0
